Nom de la fête ou manifestation;Catégorie de la fête ou manifestation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de la fête ou manifestation;Bureau distributeur de l'adresse postale;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'accès/Nom/distance en km;N° de téléphone fixe;N° de téléphone mobile;N° de fax;localisation;departement
FESTIVAL LES DIABLINTES;Festival;;;Route de Sainte Suzanne-et-Chammes;;53480;VAIGES;;;53267;48.0473202;-0.4696316;;;;;48.0473202,-0.4696316;Mayenne
FESTIVAL ATELIERS JAZZ DE MESLAY-GREZ;Festival;;;Rue de la Guiternière;;53170;MESLAY-DU-MAINE;;;53152;47.95422;-0.54462;;02 43 64 37 45;;;47.95422,-0.54462;Mayenne
FESTIVAL DU FOIN DANS LES GRANGES : BLUES ET FOLK ROCK;Festival;;;Ld le Ray Granneau;LE MESNIL-EN-VALLEE;49410;MAUGES-SUR-LOIRE;;;49244;47.39257;-0.90874;;;07 71 58 90 74;;47.39257,-0.90874;Maine-et-Loire
FESTIVAL DU FOIN DANS LES GRANGES : FLAMENCO, JAZZ, PIANO, BLUES;Festival;;;La Maison Neuve;SAINT-LAURENT-DU-MOTTAY;49410;MAUGES-SUR-LOIRE;;;49244;47.32521;-0.95613;;;07 71 58 90 74;;47.32521,-0.95613;Maine-et-Loire
FESTIVAL LE RIVAGE DES VOIX : MUSES ÉTERNELLES;Concert;;Auditorium de l'abbaye;Rue Charles de Renéville;SAINT FLORENT LE VIEIL;49410;MAUGES-SUR-LOIRE;;;49244;47.36402;-1.01999;;02 41 75 38 34;;;47.36402,-1.01999;Maine-et-Loire
FESTIVAL ST CYRIEN;Feux d'artifice;;;Saint Cyr en Retz;;44580;VILLENEUVE-EN-RETZ;;;44021;47.0334;-1.8989;;;;;47.0334,-1.8989;Loire-Atlantique
FESTIVITÉS DU 14 JUILLET;Feux d'artifice;;site des douves;;;72110;BEAUFAY;;;72026;48.14717;0.36301;;02 43 52 13 13;;;48.14717,0.36301;Sarthe
FETE AU VILLAGE;Visites et sorties à thèmes;;;;;72160;DUNEAU;;;72122;48.06764;0.526697;;06 34 61 02 93;;;48.06764,0.526697;Sarthe
FEU D'ARTIFICE;Feux d'artifice;;;;;72320;MELLERAY;;;72193;48.09928;0.79937;;02 43 93 64 10;;;48.09928,0.79937;Sarthe
FEUX D'ARTIFICE ET MÉCHOUI;Feux d'artifice;;stade de foot;;;72110;NOGENT-LE-BERNARD;;;72220;48.2368;0.48955;;;;;48.2368,0.48955;Sarthe
