id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm;localisation;libelle_region;code_region
85176-C-001;;Parking Saint Michel;38 Rue de Saumur. 85200 Pissotte;PISSOTTE;85176;Aire de covoiturage;2019-08-29;true;228500013;-0.8086;46.4968;25;;;;;;;46.4968,-0.8086;Pays de la Loire;52
85199-C-001;;Parking VenDéopéle de Sainte-Hermine - Rue Cerisiers;Avenue des Chénes. 85210 Sainte-Hermine;ST AUBIN LA PLAINE;85199;Parking;2019-08-29;true;228500013;-1.0605;46.5228;0;;;;;;;46.5228,-1.0605;Pays de la Loire;52
85204-C-001;;Aire de covoiturage de La Maison Blanche;3 Allée de l'Europe. 85670 Saint-Christophe-du-Ligneron;ST CHRISTOPHE DU LIGNERON;85204;Aire de covoiturage;2019-08-29;true;228500013;-1.7653;46.8191;20;;;;;;;46.8191,-1.7653;Pays de la Loire;52
85247-C-001;;Parking des Glycines;10 Rue des Glycines. 85130 Saint-Martin-des-Tilleuls;ST MARTIN DES TILLEULS;85247;Parking;2019-08-29;true;228500013;-1.0498;46.9732;17;;;;;;;46.9732,-1.0498;Pays de la Loire;52
85262-C-001;;Aire de covoiturage de Brennus;;ST PHILBERT DE BOUAINE;85262;Aire de covoiturage;2019-08-29;true;228500013;-1.518014;46.983685;37;;;;;;;46.983685,-1.518014;Pays de la Loire;52
49020-C-002;;Parking de covoiturage d'Angers Ouest;A11 Sortie 17 Angers Ouest;BEAUCOUZE;49020;Parking;2022-02-01;true;512377060;-0.623694;47.494472;49;2;;24/7;COFIROUTE;true;Dépose-minutes. Places deux-roues. Abris. 2 Bornes de recharge VE;47.494472,-0.623694;Pays de la Loire;52
49218-C-001;AC_MOOJ_21;La Boissière;Rue des Mauges - D152 - La Boissière-sur-Evre;MONTREVAULT-SUR-ÈVRE;49218;Aire de covoiturage;2022-01-20;true;200060010;-1.07991252867382;47.3012344719215;25;;;;Mauges Communauté;;;47.3012344719215,-1.07991252867382;Pays de la Loire;52
49218-C-002;AC_MOOJ_20;Le Fuilet;Rue des Mauges - D17 - Le Fuilet;MONTREVAULT-SUR-ÈVRE;49218;Aire de covoiturage;2022-01-20;true;200060010;-1.11307636027304;47.2799963657349;11;;;;Mauges Communauté;;;47.2799963657349,-1.11307636027304;Pays de la Loire;52
49023-C-005;AC_MOOJ_17;Saint-Philbert;Place des Vignes - Saint-Philbert-en-Mauges;SÈVREMOINE;49023;Aire de covoiturage;2022-01-20;true;200060010;-1.01768380694113;47.1521233120772;20;;;;Commune de Beaupréau-en-Mauges;;;47.1521233120772,-1.01768380694113;Pays de la Loire;52
44022-C-002;;Parking La Méchinaudiére;47 Rue de Bretagne. 44190 Boussay;BOUSSAY;44022;Parking;2019-08-29;true;224400028;-1.180741;47.058187;;;;;;;;47.058187,-1.180741;Pays de la Loire;52
53014-C-003;;Aire de covoiturage de Terre Rouge - Azé;Rue de Terre Rouge;AZE;53014;Parking;2019-08-29;true;225300011;-0.68460184;47.82971556;;;;;;;;47.82971556,-0.68460184;Pays de la Loire;52
85191-C-005;;Aire de covoiturage de L'Atlantique;31 Rue de l'Atlantique. 85000 La Roche-sur-Yon;LA ROCHE SUR YON;85191;Aire de covoiturage;2019-08-29;true;228500013;-1.4475;46.6847;25;;;;;;;46.6847,-1.4475;Pays de la Loire;52
